Фамилия;Имя;рейтинг
Волков;Давид;0
Шмелев;Лев;1
Митрофанов;Андрей;2
Алексеев;Владислав;3
Родионов;Роман;4
Королев;Кирилл;5
Александров;Александр;6
Кузнецов;Сергей;7
Дроздов;Даниил;8
Соболев;Артём;9
Губанов;Данила;10
Дубровин;Матвей;11
Цветков;Руслан;12
Рыбаков;Михаил;13
Фадеев;Константин;14
Андреев;Тимур;15
Калашников;Степан;16
Николаев;Леонид;17
Федотов;Артемий;18
Гончаров;Захар;19
Савин;Платон;20
Абрамов;Руслан;21
Маслов;Даниил;22
Белов;Лев;23
Симонов;Александр;24
Захаров;Кирилл;25
Некрасов;Елисей;26
Овчинников;Павел;27
Акимов;Илья;28
Малинин;Богдан;29
Сергеев;Владимир;30
Дмитриев;Глеб;31
Овсянников;Лев;32
Воронин;Александр;33
Фролов;Василий;34
Лукин;Константин;35
Степанов;Платон;36
Жаров;Иван;37
Субботин;Макар;38
Мартынов;Максим;39
Одинцов;Михаил;40
Дорохов;Кирилл;41
Комаров;Дмитрий;42
Тимофеев;Михаил;43
Добрынин;Дмитрий;44
Щербаков;Георгий;45
Чернышев;Григорий;46
Коротков;Константин;47
Соколов;Ярослав;48
Кочетов;Владимир;49
Филиппов;Никита;50
Давыдов;Артём;51
Еремин;Алексей;52
Сахаров;Фёдор;53
Васильев;Ярослав;54
Васильев;Пётр;55
Соколов;Алексей;56
Москвин;Мирон;57
Бородин;Степан;58
Родионов;Максим;59
Семенов;Александр;60
Сорокин;Александр;61
Ерофеев;Кирилл;62
Корнеев;Макар;63
Калинин;Платон;64
Поздняков;Артём;65
Ульянов;Кирилл;66
Орлов;Александр;67
Мальцев;Никита;68
Данилов;Михаил;69
Николаев;Марк;70
Гаврилов;Михаил;71
Тимофеев;Дмитрий;72
Зайцев;Алексей;73
Евдокимов;Андрей;74
Королев;Илья;75
Павлов;Иван;76
Зубов;Всеволод;77
Анисимов;Владимир;78
Костин;Николай;79
Поляков;Захар;80
Жуков;Артём;81
Агеев;Юрий;82
Иванов;Максим;83
Борисов;Лев;84
Никитин;Иван;85
Попов;Сергей;86
Филиппов;Ярослав;87
Кудрявцев;Марсель;88
Большаков;Владислав;89
Федоров;Глеб;90
Алексеев;Александр;91
Сазонов;Владимир;92
Дмитриев;Александр;93
Пирогов;Максим;94
Кукушкин;Никита;95
Головин;Александр;96
Кочетков;Тимур;97
Федоров;Максим;98
Новиков;Макар;99
